Sigla;Código;Município;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;Região;Microrregião
SC;4207007;Içara;5059,12093;5820,41316;5451,51064;5631,457292;5999,860813;6090,638443;6219,976918;6193,075703;7034,863196;7559,443532;8035,481348;8741,011288;SUL;Criciúma
SC;4207106;Ilhota;3392,045105;4272,276283;4773,693574;6675,117367;7477,759119;4577,905022;4912,327892;5416,004149;4780,143684;5051,006925;4739,412999;6090,820153;SUL;Itajaí
SC;4207205;Imaruí;3086,21894;3160,828168;3390,893932;3599,337173;4117,370016;4648,556022;4271,09725;4333,755638;4702,189624;4767,096806;5316,836091;5017,244599;SUL;Tubarão
SC;4207304;Imbituba;4233,87742;4579,326786;5404,419597;4498,750583;4802,868077;6098,030995;6663,223741;9507,469638;11328,08144;11385,11405;11761,8313;11283,99664;SUL;Tubarão
SC;4207403;Imbuia;4594,908118;5267,120639;6396,880749;6596,597995;6329,788745;6774,922529;6487,97785;6444,059585;6579,794236;7199,305755;7622,459642;7718,452405;SUL;Ituporanga
SC;4207502;Indaial;8224,277043;9264,080178;9449,785535;9077,670277;9688,825555;10458,76048;9895,21726;10457,87368;10724,25932;10444,52193;10254,46592;11422,01206;SUL;Blumenau
SC;4207577;Iomerê;4674,792599;5035,860577;5910,168096;5457,180621;6342,13365;7024,958209;7051,178225;6196,741951;7191,777921;8203,680478;7646,994288;6034,095199;SUL;Joaçaba
SC;4207601;Ipira;3727,920876;4096,815435;3486,548075;3346,886399;3688,46131;3713,816551;3743,29804;3416,570158;3993,928402;4448,275713;4356,086372;4102,622907;SUL;Concórdia
SC;4207650;Iporã do Oeste;4014,459444;4720,766149;5517,686455;5921,724424;6755,51568;6605,87943;6640,431893;5822,46311;6246,086781;7294,298269;7067,828412;6427,83898;SUL;São Miguel do Oeste
SC;4207684;Ipuaçu;4310,201377;4687,720525;4746,64446;5944,563677;6998,995593;6668,554299;4780,17248;4105,950349;4526,260239;6681,517554;6776,332999;6596,698184;SUL;Xanxerê
SC;4207700;Ipumirim;6298,005331;7593,746706;7782,555441;8465,385572;9664,272009;11042,25684;10777,01686;9793,363662;10376,55108;13087,68745;12173,91663;11657,63149;SUL;Concórdia
